ticker,entry_date,exit_date,entry_px,exit_px,ret,hold_days,reason
ITW,2005-06-06,2005-06-07,25.866131329536437,26.071560054779056,0.007941996529184925,1,close_exit
DDS,2005-06-06,2005-06-08,15.75122074985504,16.138454979896547,0.02458439483460806,2,close_exit
CRM,2005-06-06,2005-06-09,4.957233160972595,4.9621287479400635,0.0009875643949956991,3,close_exit
AU,2005-06-06,2005-06-10,26.20103838443756,26.730286236763003,0.020199499140453714,4,close_exit
AMGN,2005-06-06,2005-06-10,40.9776700630188,40.399921617507935,-0.014099104332246148,4,close_exit
NEM,2005-06-06,2005-06-10,25.42895644569397,25.714227290153506,0.011218346496788323,4,close_exit
DIS,2005-06-06,2005-06-10,21.491756667137146,21.819130677223207,0.01523253846376571,4,close_exit
NRG,2005-06-06,2005-06-10,13.121561087608336,13.365102130889893,0.018560371106418838,4,close_exit
NUE,2005-06-06,2005-06-10,14.52549527835846,14.110414865493775,-0.028575990347338598,4,close_exit
ED,2005-06-06,2005-06-10,18.99067078113556,18.93014925479889,-0.003186908300089497,4,close_exit
FE,2005-06-13,2005-06-14,18.00650775718689,18.245145324707032,0.013252851176813962,1,close_exit
GEN,2005-06-13,2005-06-15,7.526273215055466,7.632459060192109,0.014108688603574837,2,close_exit
CVS,2005-06-13,2005-06-16,18.77506696987152,19.120384594917297,0.018392351175093635,3,close_exit
LMT,2005-06-13,2005-06-17,35.55703431129455,35.56550226783752,0.00023815137305427392,4,close_exit
CMCSA,2005-06-13,2005-06-17,6.6397274873256675,6.612151712417603,-0.004153148598448175,4,close_exit
MU,2005-06-13,2005-06-17,10.587157197475433,10.55708148956299,-0.002840772773225253,4,close_exit
GE,2005-06-13,2005-06-17,105.6480200843811,105.39809551239014,-0.002365634223824964,4,close_exit
FFIV,2005-06-13,2005-06-17,25.29264068698883,23.55321803379059,-0.06877188802563594,4,close_exit
FISV,2005-06-13,2005-06-17,10.912954017162322,10.712140983104707,-0.018401345203306607,4,close_exit
AMGN,2005-06-13,2005-06-17,40.30602016639709,40.67503347396851,0.00915529010425753,4,close_exit
MU,2005-06-20,2005-06-23,10.401757995128632,10.55708148956299,0.014932427240385682,3,close_exit
ADBE,2005-06-20,2005-06-24,31.105545152664185,29.225379771232607,-0.06044470116835554,4,close_exit
BIIB,2005-06-20,2005-06-24,35.41770152664184,34.06296183013916,-0.03825035612442618,4,close_exit
CAG,2005-06-20,2005-06-24,8.7499181599617,8.47894036245346,-0.03096918080310651,4,close_exit
KMB,2005-06-20,2005-06-24,29.664000231742857,28.680024991035463,-0.03317068611853846,4,close_exit
MDT,2005-06-20,2005-06-24,33.451573843002315,33.34225684165955,-0.003267918031475081,4,close_exit
SPG,2005-06-20,2005-06-24,28.341228046417235,27.683990817070008,-0.02319014646333617,4,close_exit
FCX,2005-06-20,2005-06-24,11.579499205112457,11.30593249320984,-0.023625090088683187,4,close_exit
BSX,2005-06-20,2005-06-24,28.634310839653015,27.496245228767396,-0.03974482281967884,4,close_exit
ETN,2005-06-20,2005-06-24,17.90836376953125,17.235897927284242,-0.03755037874488121,4,close_exit
ITW,2005-06-27,2005-06-28,24.376495282173156,24.810226239204408,0.01779299903495324,1,close_exit
AVY,2005-06-27,2005-06-28,31.64422263622284,32.01371688461304,0.011676515256445086,1,close_exit
SWKS,2005-06-27,2005-06-28,5.67661303782463,5.8743101396560675,0.0348265947518589,1,close_exit
UPS,2005-06-27,2005-06-28,34.536997112274165,35.21876333999634,0.019740170968132187,1,close_exit
BMY,2005-06-27,2005-06-28,11.197275794506073,11.35680178308487,0.014246857137971913,1,close_exit
AMD,2005-06-27,2005-06-28,16.658324618339538,17.691150762557985,0.06200060137388519,1,close_exit
TFC,2005-06-27,2005-06-28,17.7634263010025,18.058570262908937,0.016615260868325876,1,close_exit
VZ,2005-06-27,2005-06-29,10.562905537605285,10.65977040719986,0.009170286456668952,2,close_exit
NEM,2005-06-27,2005-06-29,26.422853719711302,26.835471578598025,0.015615946076971587,2,close_exit
