ticker,entry_date,exit_date,entry_px,exit_px,ret,hold_days,reason
NUE,2006-01-04,2006-01-17,19.47757433421117,19.48608261940129,0.00043682468073957814,7,open_exit
AMD,2006-01-04,2006-01-18,32.51625,32.58369847488404,0.002074300538470464,8,open_exit
NEM,2006-01-04,2006-01-19,38.57871414035527,39.49007270469128,0.023623352531148445,9,open_exit
GOOG,2006-01-04,2006-01-19,10.96491122750594,11.133351475489988,0.015361752091663794,9,open_exit
GOOGL,2006-01-04,2006-01-19,11.016478508098867,11.185710525607512,0.015361716303829098,9,open_exit
FCX,2006-01-04,2006-01-23,18.23918229521889,18.114899176903812,-0.006814072928458814,11,open_exit
AON,2006-01-04,2006-01-23,29.438742790090256,28.61661751153153,-0.027926643621325797,11,open_exit
GLW,2006-01-19,2006-01-23,16.575059884741975,15.869920060122459,-0.042542218822909206,1,open_exit
SRPT,2006-01-23,2006-01-27,46.52325,45.75710877990723,-0.016467921310157174,3,open_exit
MSTR,2006-01-04,2006-02-01,8.70034809923172,9.145424618721009,0.05115617380051618,19,close_exit
CRM,2006-01-19,2006-02-02,10.093017125199568,9.849583985720388,-0.024118966257512087,9,open_exit
EXP,2006-01-27,2006-02-02,45.389305674799914,43.519106356441135,-0.04120352339729905,3,open_exit
RGLD,2006-01-04,2006-02-02,29.368121996035125,29.482346560478213,0.0038894064951959795,20,close_exit
NRG,2006-01-17,2006-02-03,18.110028193352417,17.50628376116514,-0.03333757549913097,12,open_exit
CCI,2006-01-19,2006-02-06,17.83667302014828,18.869146458931894,0.0578848666238001,11,open_exit
FTI,2006-01-23,2006-02-06,7.769654417427642,8.033554800265708,0.03396552390362784,9,open_exit
ON,2006-02-02,2006-02-06,7.513755228996277,6.846574904680253,-0.08879452470601035,1,open_exit
AU,2006-01-04,2006-02-07,39.77180876176287,43.834238756179815,0.10214345590242857,23,close_exit
ATI,2006-01-18,2006-02-08,34.02920074872091,41.356673459573145,0.21532896893347275,14,open_exit
RL,2006-02-06,2006-02-08,43.57792689779596,41.32434969855339,-0.0517137312320507,1,open_exit
RS,2006-02-03,2006-02-09,28.965106143443233,27.86745296927077,-0.037895706949478525,3,open_exit
SCCO,2006-02-03,2006-02-13,5.542989109990953,5.015185445906836,-0.09522004348389901,5,open_exit
SMG,2006-02-02,2006-02-14,24.23172255137775,23.520305551274564,-0.0293589115918107,7,open_exit
HXL,2006-02-06,2006-02-14,21.035731832536843,19.775845090606413,-0.059892698383885556,5,open_exit
VRTX,2006-02-08,2006-02-14,35.97797908401489,34.61268606758118,-0.037948018515590154,3,open_exit
MU,2006-02-13,2006-02-22,15.951466284640588,15.672368270888247,-0.0174966995994017,5,open_exit
BLK,2006-02-14,2006-02-24,87.40481184443061,88.69856594495076,0.014801863572715623,6,open_exit
WDC,2006-02-14,2006-02-24,14.141500841321283,13.463258324382283,-0.047961141080385516,6,open_exit
RS,2006-02-22,2006-03-01,30.120146485685527,29.433193887381076,-0.022807080258753776,4,open_exit
ACN,2006-01-23,2006-03-06,21.435926979766908,22.42599338436127,0.04618724469106805,29,close_exit
CMI,2006-02-06,2006-03-07,16.0810411531821,17.045711750816928,0.05998806846184457,19,open_exit
WCC,2006-02-02,2006-03-07,49.4474243997651,54.743561029434204,0.10710642048515395,22,close_exit
BEN,2006-02-24,2006-03-08,17.1634849843491,16.911513284466988,-0.014680684028440472,7,open_exit
CIEN,2006-03-07,2006-03-08,32.70634362602234,30.434775762557987,-0.0694534335429966,0,open_exit
SBUX,2006-02-09,2006-03-08,12.956890978118238,13.032419053077698,0.005829181945500084,18,close_exit
LVS,2006-03-07,2006-03-10,35.201555885780095,33.40242001082636,-0.05110955552054186,2,open_exit
WRB,2006-02-14,2006-03-21,7.22090690962572,7.965522463798523,0.10311939531864134,24,close_exit
APD,2006-03-08,2006-03-29,35.8334620002269,36.91547244629658,0.03019553193221558,14,open_exit
CIEN,2006-03-29,2006-04-05,37.88893393135071,34.352813932418826,-0.09332856937434086,4,open_exit
PENN,2006-03-08,2006-04-06,8.695279648303986,9.14306354856491,0.05149735469960004,20,open_exit
TXT,2006-02-24,2006-04-06,39.36948197117422,41.858584468841556,0.0632241617883067,29,close_exit
CSCO,2006-03-01,2006-04-06,13.073481074576398,13.573096493244172,0.03821594384982596,26,close_exit
ROK,2006-04-07,2006-04-12,48.440482669242755,46.59492669518283,-0.03809945467846798,2,open_exit
GME,2006-03-22,2006-04-17,3.705002071188012,3.9368368720891413,0.06257346053973767,16,open_exit
CHRW,2006-02-09,2006-04-17,27.196302474034812,31.75774332714081,0.16772283134668586,45,close_exit
NUE,2006-03-10,2006-04-21,25.904736530950363,31.775671828708013,0.22663559194061667,28,open_exit
CAT,2006-04-12,2006-04-26,46.42011877215045,46.04875983348512,-0.00799995666723985,8,open_exit
QCOM,2006-03-09,2006-04-26,31.116093821451763,32.03837038421631,0.029639856726769498,33,close_exit
LVS,2006-04-05,2006-04-27,36.816994061237985,39.063318324327724,0.06101324457269408,14,open_exit
AA,2006-04-07,2006-04-28,62.60584471956792,64.32910819079304,0.02752560050813435,13,open_exit
CRS,2006-04-18,2006-04-28,38.794196212593796,41.65456062748642,0.07373176129794534,7,open_exit
INTU,2006-04-21,2006-05-01,24.981432943831237,23.75474130204981,-0.04910413444014794,5,open_exit
OSK,2006-04-26,2006-05-01,50.42856499723345,47.84754757914295,-0.05118165504475691,2,open_exit
RSG,2006-02-08,2006-05-01,16.689023824113587,18.70538719558716,0.12081973114330258,56,close_exit
NTAP,2006-04-17,2006-05-03,27.459012811578127,26.13680492849069,-0.04815205456074978,11,open_exit
ILMN,2006-04-28,2006-05-04,15.328672049045561,14.589005787849427,-0.0482537729836936,3,open_exit
EQIX,2006-05-01,2006-05-04,48.24894087983428,45.15739087751499,-0.06407498166682879,2,open_exit
AMKR,2006-04-27,2006-05-11,11.50775236463117,11.152666205188421,-0.03085625656440949,9,open_exit
WCC,2006-04-06,2006-05-11,66.57614970691992,72.53305126953126,0.08947500852534551,24,close_exit
NEU,2006-04-27,2006-05-12,38.029395392017385,37.09536456162981,-0.024560759400966914,10,open_exit
JLL,2006-05-01,2006-05-12,78.48827235904007,78.94314142729395,0.005795376233701743,8,open_exit
LRCX,2006-05-04,2006-05-12,4.4002775307484985,4.121135698121871,-0.06343732427694049,5,open_exit
WM,2006-03-09,2006-05-12,20.00327112279678,21.74650465488434,0.08714742310825763,45,close_exit
STLD,2006-05-02,2006-05-15,10.470812203009437,10.028594887390796,-0.04223333463010093,8,open_exit
CRS,2006-05-03,2006-05-15,45.32198498030525,43.99694134065017,-0.02923622255801206,7,open_exit
LAZ,2006-05-11,2006-05-15,21.72693133383893,20.34751992452561,-0.06348855197811276,1,open_exit
AKAM,2006-04-28,2006-05-16,34.36717347335815,32.67365362739563,-0.04927725136532857,11,open_exit
ADM,2006-05-12,2006-05-16,27.54652559088884,26.025075157661966,-0.05523202656563342,1,open_exit
HXL,2006-05-12,2006-05-16,22.39524147825809,20.546694184585395,-0.0825419674740866,1,open_exit
GRMN,2006-05-04,2006-05-18,25.72395846697952,23.491967611285027,-0.08676700588517827,9,open_exit
PFG,2006-05-12,2006-05-18,29.17595919719429,27.736474079112455,-0.049338056320707535,3,open_exit
LIN,2006-05-12,2006-05-19,38.68442890008331,36.91982360544198,-0.045615389571837084,4,open_exit
BWA,2006-05-16,2006-05-24,11.841519925123382,11.480288785071355,-0.030505470778765975,5,open_exit
DGX,2006-05-16,2006-05-25,42.002941159461194,40.711160060741946,-0.030754539159891014,6,open_exit
DINO,2006-06-02,2006-06-08,10.388230302148253,9.569093588421035,-0.07885238292780472,3,open_exit
DIS,2006-05-17,2006-06-08,24.10217547214721,23.752058840751648,-0.014526349781170622,15,close_exit
LECO,2006-06-02,2006-06-13,20.817588432227513,19.054922746431334,-0.08467194418482271,6,open_exit
CMCSA,2006-06-02,2006-06-13,6.887617923799955,6.715433602599388,-0.024999110447980755,6,open_exit
SEIC,2006-06-02,2006-06-13,18.189846490763536,17.290017402820226,-0.04946875656153704,6,open_exit
XRAY,2006-06-02,2006-06-13,25.311740535758794,24.447652746646806,-0.03413782580029456,6,open_exit
AES,2006-05-15,2006-06-13,11.375221168041229,11.214412190437317,-0.014136778109924197,20,close_exit
