Date,equity
2005-06-01,99990.00499750125
2005-06-02,100278.90625583922
2005-06-03,100790.9434778016
2005-06-06,101291.50868432739
2005-06-07,100907.3985309934
2005-06-08,100831.4932800897
2005-06-09,101431.34525474798
2005-06-10,101515.16632513628
2005-06-13,101456.13926371446
2005-06-14,101363.02572216629
2005-06-15,101901.39423665378
2005-06-16,102194.36382307575
2005-06-17,102060.59492272447
2005-06-20,102044.13206948995
2005-06-21,101553.71592171385
2005-06-22,101753.49127148109
2005-06-23,100898.61006948206
2005-06-24,100820.14450853075
2005-06-27,100525.41860534287
2005-06-28,102217.0671203759
2005-06-29,103711.7916122414
2005-06-30,102671.29854166711
2005-07-01,102531.93455481398
2005-07-05,103307.62166137948
2005-07-06,103703.93760869185
2005-07-07,103709.19477107198
2005-07-08,104565.73323630603
2005-07-11,106124.4913880366
2005-07-12,106417.01862982978
2005-07-13,106437.564167418
2005-07-14,106018.7283118125
2005-07-15,106136.99114472469
2005-07-18,106021.07949235024
2005-07-19,107474.06481159052
2005-07-20,108705.33020534659
2005-07-21,108248.5998764873
2005-07-22,108648.75538001482
2005-07-25,109267.86756016655
2005-07-26,109414.16747563225
2005-07-27,109008.61981981774
2005-07-28,109754.34754223954
2005-07-29,109129.6242655049
2005-08-01,109129.03718594628
2005-08-02,109893.96325744416
2005-08-03,110046.55800815191
2005-08-04,108784.2852823282
2005-08-05,107295.68285225883
2005-08-08,105710.75148075381
2005-08-09,106472.2998891575
2005-08-10,106663.58593424076
2005-08-11,107542.22649537219
2005-08-12,107513.75220943651
2005-08-15,107457.99482472883
2005-08-16,104926.81620696731
2005-08-17,104461.27399458739
2005-08-18,104199.47819845348
2005-08-19,104026.53621884275
2005-08-22,103894.5587934053
2005-08-23,103652.50797294642
2005-08-24,103879.84841698325
2005-08-25,103397.09272763805
2005-08-26,102673.0211807781
2005-08-29,102573.93522848024
2005-08-30,102463.58831260228
2005-08-31,104130.98101043388
2005-09-01,103233.39476683993
2005-09-02,103087.4280050516
2005-09-06,104606.709385647
2005-09-07,105503.82966555253
2005-09-08,105073.65433045941
2005-09-09,105075.2924911043
2005-09-12,105480.12441262437
2005-09-13,105560.27546847833
2005-09-14,105180.94496051471
2005-09-15,105283.87183426059
2005-09-16,106415.60177645163
2005-09-19,105276.91614431137
2005-09-20,104497.88206195022
2005-09-21,105061.16312970838
2005-09-22,104882.09987993861
2005-09-23,104494.60127289078
2005-09-26,105353.77371328097
2005-09-27,105559.78635736699
2005-09-28,104670.69941405355
2005-09-29,104760.23301725177
2005-09-30,104984.32866821221
2005-10-03,105484.12193592812
2005-10-04,105438.36678315638
2005-10-05,104130.86393792562
2005-10-06,103434.22348841303
2005-10-07,103625.26338678782
2005-10-10,103525.93952001026
2005-10-11,103273.24940046082
2005-10-12,102382.24465405576
2005-10-13,101989.61566088829
2005-10-14,102694.80016503688
2005-10-17,103622.59307400498
2005-10-18,102206.96692253897
2005-10-19,104018.80353225385
2005-10-20,102349.97637189686
2005-10-21,103219.17044433183
2005-10-24,103784.08822734561
2005-10-25,102239.99924622745
2005-10-26,101615.64620772572
2005-10-27,100718.41751644101
2005-10-28,101689.59675882249
2005-10-31,103350.85714041072
2005-11-01,103573.18980709794
2005-11-02,106694.8743068669
2005-11-03,107429.83300799792
2005-11-04,106979.3776496659
2005-11-07,107430.88787549353
2005-11-08,107733.43877551531
2005-11-09,107790.27004358929
2005-11-10,107664.84323555339
2005-11-11,107973.34830801973
2005-11-14,109114.26695939305
2005-11-15,107064.22502961263
2005-11-16,106934.47735247816
2005-11-17,108373.77023493817
2005-11-18,107797.48148488911
2005-11-21,109389.78522701738
2005-11-22,111152.89279948216
2005-11-23,111752.46022247322
2005-11-25,112259.82212309413
2005-11-28,111635.32029128852
2005-11-29,111496.02522285243
2005-11-30,112249.11269704165
2005-12-01,113149.3112520624
2005-12-02,112592.54516869309
2005-12-05,112876.80610840302
2005-12-06,113697.9304222816
2005-12-07,112859.1920665026
2005-12-08,112965.98220601422
2005-12-09,112796.69667333286
2005-12-12,113303.57987444176
2005-12-13,113284.66663682825
2005-12-14,112280.57661918245
2005-12-15,111095.67999710114
2005-12-16,110196.40168676019
2005-12-19,109837.0916779135
2005-12-20,109367.60251810608
2005-12-21,109127.5981430208
2005-12-22,110390.31662049946
2005-12-23,110431.37685708213
2005-12-27,109803.92515060434
2005-12-28,110631.68155772587
2005-12-29,110021.51570459697
2005-12-30,110021.51570459697
2006-01-03,109966.53243837778
2006-01-04,111055.43115564912
2006-01-05,110470.87289534774
2006-01-06,114865.85649861982
2006-01-09,114844.99944696837
2006-01-10,115119.39723462077
2006-01-11,115096.3848613605
2006-01-12,115410.54356418161
2006-01-13,115467.43865718783
2006-01-17,114873.66114357079
2006-01-18,113994.70629871328
2006-01-19,115014.06756331565
2006-01-20,114822.8043745048
2006-01-23,115464.6448397995
2006-01-24,117115.47392881154
2006-01-25,116511.81783168725
2006-01-26,118282.25092937154
2006-01-27,119668.03593890529
2006-01-30,119699.771983647
2006-01-31,117901.35723810982
2006-02-01,116995.5742193285
2006-02-02,115955.39023345982
2006-02-03,115154.73828340985
2006-02-06,117201.07979923833
2006-02-07,114301.41223199024
2006-02-08,113578.07807432665
2006-02-09,113658.42863524331
2006-02-10,113852.21003691529
2006-02-13,113840.29531454171
2006-02-14,114065.35514528122
2006-02-15,114447.46097817039
2006-02-16,114735.25501375456
2006-02-17,114710.54994987295
2006-02-21,114891.56484543745
2006-02-22,115217.99737949255
2006-02-23,114740.46723118727
2006-02-24,115013.68906041315
2006-02-27,115468.64798140406
2006-02-28,113237.11659819218
2006-03-01,115053.26831435051
2006-03-02,114928.57349061024
2006-03-03,115155.22688044386
2006-03-06,115088.23639701985
2006-03-07,114647.2129887308
2006-03-08,114414.7315738204
2006-03-09,113982.37162837962
2006-03-10,114533.69080218479
2006-03-13,113537.7105209967
2006-03-14,114752.2455862846
2006-03-15,116416.71335943954
2006-03-16,115657.15672753462
2006-03-17,117462.87204232991
2006-03-20,117569.65593463146
2006-03-21,116837.45735030455
2006-03-22,116851.97264525449
2006-03-23,117184.17902834507
2006-03-24,117635.9172887936
2006-03-27,119162.7355098992
2006-03-28,118502.00216960293
2006-03-29,120800.53217386428
2006-03-30,120822.63478836397
2006-03-31,121309.47345553148
2006-04-03,122052.75791489425
2006-04-04,122677.57246787802
2006-04-05,123463.4772058529
2006-04-06,123244.91557769034
2006-04-07,121554.86972971224
2006-04-10,120743.9752283411
2006-04-11,120518.13617191279
2006-04-12,119895.83761591476
2006-04-13,120649.10901183388
2006-04-17,120703.02724753122
2006-04-18,123553.36105163445
2006-04-19,125515.45658451132
2006-04-20,125957.02980103476
2006-04-21,125705.35350902524
2006-04-24,125462.67889567737
2006-04-25,124645.29706381109
2006-04-26,127072.28041251661
2006-04-27,126735.56163578549
2006-04-28,126990.72534024686
2006-05-01,126115.53103043485
2006-05-02,126117.42893960932
2006-05-03,126347.54791308288
2006-05-04,127331.02331257937
2006-05-05,127776.17486944844
2006-05-08,129122.20702730154
2006-05-09,128521.18926822096
2006-05-10,128874.58329862703
2006-05-11,127626.74115222445
2006-05-12,125434.35278344777
2006-05-15,124872.84624228827
2006-05-16,124026.18493122212
2006-05-17,122431.13297915412
2006-05-18,122791.53252805083
2006-05-19,122443.0140660074
2006-05-22,118609.79261302417
2006-05-23,118185.6372317189
2006-05-24,117712.22474489985
2006-05-25,120437.78723455768
2006-05-26,120660.58116984041
2006-05-30,119081.83678935283
2006-05-31,120329.91828017788
2006-06-01,122276.33839069627
2006-06-02,122560.48542702418
2006-06-05,121223.89344128386
2006-06-06,121444.5743634408
2006-06-07,120677.90798833137
2006-06-08,121051.24560247854
2006-06-09,120339.15767186147
2006-06-12,119516.93452687794
2006-06-13,119502.3556840793
2006-06-14,119972.49581689828
2006-06-15,123041.76256932777
2006-06-16,122376.23506710374
2006-06-19,119216.82832255699
2006-06-20,119873.68441879835
2006-06-21,123892.96278954872
2006-06-22,123067.21952646016
2006-06-23,123013.79902653508
2006-06-26,124232.27518857607
2006-06-27,123147.65617264068
2006-06-28,123316.29828574153
2006-06-29,126978.4105489814
2006-06-30,127231.78122593262
2006-07-03,127981.06477315203
2006-07-05,127403.5472862313
2006-07-06,127328.92553407245
2006-07-07,127058.28766794529
2006-07-10,126941.94316305482
2006-07-11,127153.34935318651
2006-07-12,126407.03121872824
2006-07-13,124950.58596371667
2006-07-14,125176.41214643422
2006-07-17,123755.5951383805
2006-07-18,123743.65990293142
2006-07-19,125611.16826065812
2006-07-20,124060.17227477737
2006-07-21,123295.67269486668
2006-07-24,125022.16785865015
2006-07-25,126691.29237960666
2006-07-26,126096.64764030222
