Date,equity
2005-06-01,99980.0099950025
2005-06-02,100198.32237095112
2005-06-03,99817.98080044995
2005-06-06,99983.97381282525
2005-06-07,99880.45521551889
2005-06-08,99910.94588555425
2005-06-09,100232.02013928213
2005-06-10,99989.95407603697
2005-06-13,100916.26760406554
2005-06-14,100819.03604859742
2005-06-15,101120.26994090257
2005-06-16,101160.23764944184
2005-06-17,100783.32164482647
2005-06-20,101116.25196642283
2005-06-21,100982.55903799724
2005-06-22,101503.73180391523
2005-06-23,100472.20057120071
2005-06-24,98821.38658792531
2005-06-27,98300.0665573423
2005-06-28,99443.97719369651
2005-06-29,99457.29916959295
2005-06-30,98798.57055677053
2005-07-01,99256.37453019945
2005-07-05,99655.87740773511
2005-07-06,99926.6377338644
2005-07-07,100257.0261016998
2005-07-08,100448.00729811215
2005-07-11,100476.20757618723
2005-07-12,100293.76096711634
2005-07-13,99765.71742783482
2005-07-14,99645.15166283777
2005-07-15,100112.97410120873
2005-07-18,99909.10245561131
2005-07-19,100415.05997803714
2005-07-20,100447.82188556893
2005-07-21,100376.64558546443
2005-07-22,101102.69489009833
2005-07-25,100947.30632356326
2005-07-26,101651.49920771332
2005-07-27,102840.60161389114
2005-07-28,104107.97527618255
2005-07-29,104051.95451875428
2005-08-01,103774.89014792998
2005-08-02,104180.89465807826
2005-08-03,104784.20925705077
2005-08-04,103876.87546398971
2005-08-05,103226.64834055913
2005-08-08,102938.38728186737
2005-08-09,103862.01358900816
2005-08-10,103389.2374380672
2005-08-11,103677.78695679689
2005-08-12,103039.39534528507
2005-08-15,103706.71450107932
2005-08-16,103052.69084434782
2005-08-17,102943.19724328085
2005-08-18,101221.71633283856
2005-08-19,101297.18529634198
2005-08-22,101283.16351353096
2005-08-23,100908.43029086599
2005-08-24,100982.1509224605
2005-08-25,100863.88994689354
2005-08-26,100061.60204448218
2005-08-29,100832.24145694458
2005-08-30,100267.267613643
2005-08-31,101350.90358813522
2005-09-01,100968.108843502
2005-09-02,101095.85303171517
2005-09-06,101871.08198782492
2005-09-07,101988.48925834091
2005-09-08,101738.92109087002
2005-09-09,101844.00426928088
2005-09-12,102522.94400164668
2005-09-13,101341.81282770698
2005-09-14,100809.07035125636
2005-09-15,100645.43766392049
2005-09-16,101262.14548271193
2005-09-19,101165.29732232103
2005-09-20,100760.99694463333
2005-09-21,99730.41588255699
2005-09-22,100854.1485255379
2005-09-23,100965.28675273395
2005-09-26,101606.81098817675
2005-09-27,101605.11385212562
2005-09-28,101882.43334788251
2005-09-29,102365.98143121462
2005-09-30,103158.26767231694
2005-10-03,102979.66880104382
2005-10-04,102152.74248848736
2005-10-05,99539.85177072496
2005-10-06,97849.1763657556
2005-10-07,99235.82676339931
2005-10-10,98194.99068262897
2005-10-11,98686.64089229015
2005-10-12,97396.51577603637
2005-10-13,96945.64910597212
2005-10-14,98692.39422892733
2005-10-17,98882.64205893004
2005-10-18,98900.72178164123
2005-10-19,99363.7087872856
2005-10-20,99275.8892064969
2005-10-21,100018.04835026822
2005-10-24,101670.18455529035
2005-10-25,101585.19010470819
2005-10-26,101127.862429225
2005-10-27,100645.9174717197
2005-10-28,102054.13793212305
2005-10-31,102973.2461127025
2005-11-01,102614.68287481493
2005-11-02,103366.04557300115
2005-11-03,104557.05281196022
2005-11-04,104893.53883059483
2005-11-07,105208.3101177508
2005-11-08,104949.45164819669
2005-11-09,104807.06711913088
2005-11-10,105013.33905603082
2005-11-11,105585.01647553235
2005-11-14,106153.24123026975
2005-11-15,106069.67290289185
2005-11-16,106263.96739724072
2005-11-17,107810.52439108124
2005-11-18,107909.69096110828
2005-11-21,108017.30052890819
2005-11-22,108419.3113099222
2005-11-23,108387.42000493951
2005-11-25,108355.69857063063
2005-11-28,107977.71827891281
2005-11-29,108341.31989803186
2005-11-30,108040.55496155612
2005-12-01,109793.02359812897
2005-12-02,110222.28859147652
2005-12-05,110070.19103212337
2005-12-06,110601.1898304114
2005-12-07,110247.72721104769
2005-12-08,110424.17268267619
2005-12-09,111038.04456175803
2005-12-12,111229.82691462751
2005-12-13,111173.70623627331
2005-12-14,111179.60545870182
2005-12-15,111265.56346143744
2005-12-16,111072.6094573835
2005-12-19,109674.06578810555
2005-12-20,109720.39920016853
2005-12-21,110668.22886734668
2005-12-22,110987.39406469195
2005-12-23,111307.81450807303
2005-12-27,110702.37498857714
2005-12-28,111339.06995334719
2005-12-29,110838.86933762892
2005-12-30,110469.01073463428
2006-01-03,112039.51889247296
2006-01-04,112907.25202098212
2006-01-05,113416.09256061117
2006-01-06,114535.2507721103
2006-01-09,115200.57587935051
2006-01-10,115382.8470640847
2006-01-11,115427.5351124302
2006-01-12,114744.10480138207
2006-01-13,114129.72622948229
2006-01-17,114305.70320822179
2006-01-18,114797.09957912573
2006-01-19,115425.00388313245
2006-01-20,113407.69006080563
2006-01-23,113772.66659544708
2006-01-24,113722.71681268104
2006-01-25,113470.19574795515
2006-01-26,114199.82605041686
2006-01-27,114779.23466915521
2006-01-30,114350.79573269648
2006-01-31,113916.353411126
2006-02-01,113901.95746525112
2006-02-02,114172.72499367806
2006-02-03,114097.66320569365
2006-02-06,113577.27882732374
2006-02-07,112520.59707590319
2006-02-08,113228.66607595599
2006-02-09,113621.34153403512
2006-02-10,113953.2323936774
2006-02-13,113470.9218349608
2006-02-14,113417.9181995304
2006-02-15,113365.85343427467
2006-02-16,115097.25548613536
2006-02-17,115457.13321242701
2006-02-21,115493.28490793241
2006-02-22,116343.17662459129
2006-02-23,115907.25632540016
2006-02-24,117309.81222545018
2006-02-27,117660.53908861252
2006-02-28,117005.9838039882
