Date,equity
2005-06-01,100000.0
2005-06-02,100108.00327813879
2005-06-03,99898.83176055986
2005-06-06,99931.34223720361
2005-06-07,99901.62088184891
2005-06-08,99806.75903139333
2005-06-09,100394.77068360348
2005-06-10,100586.49174385432
2005-06-13,101523.7313450492
2005-06-14,101728.81974500332
2005-06-15,102071.54215222155
2005-06-16,102087.81420767022
2005-06-17,102512.4340427629
2005-06-20,102482.44426021795
2005-06-21,102459.54916344234
2005-06-22,102459.4198247825
2005-06-23,102256.02048681471
2005-06-24,101353.97452365152
2005-06-27,100994.97859862131
2005-06-28,102836.66131553531
2005-06-29,102769.46081301446
2005-06-30,102691.84275564844
2005-07-01,102786.12329018579
2005-07-05,102714.04910122787
2005-07-06,102525.47625290869
2005-07-07,103609.40586789131
2005-07-08,103527.49887140062
2005-07-11,103751.70392379712
2005-07-12,103707.84496459039
2005-07-13,103292.40670674172
2005-07-14,103033.67729330115
2005-07-15,103538.84516231387
2005-07-18,103603.79468530096
2005-07-19,104755.99163255647
2005-07-20,105222.03172331762
2005-07-21,104637.46464065409
2005-07-22,105130.5441549597
2005-07-25,105007.35934450592
2005-07-26,105308.87693928156
2005-07-27,106104.79920222602
2005-07-28,107841.21130360631
2005-07-29,107588.25477603186
2005-08-01,107909.95291276553
2005-08-02,108223.87860482147
2005-08-03,109031.84776250174
2005-08-04,107758.72996246124
2005-08-05,106754.23238526267
2005-08-08,106251.03021402768
2005-08-09,107116.67363999158
2005-08-10,106344.81107181872
2005-08-11,106870.81673549922
2005-08-12,106843.46629391007
2005-08-15,107682.74355307172
2005-08-16,106456.5319517262
2005-08-17,106800.73660673467
2005-08-18,104909.16333314785
2005-08-19,105699.8776234996
2005-08-22,105982.0400134661
2005-08-23,105991.42418873812
2005-08-24,104680.26832534005
2005-08-25,105256.72485350088
2005-08-26,105124.02473186563
2005-08-29,106096.66972215907
2005-08-30,105398.98815754431
2005-08-31,106489.43937832175
2005-09-01,106482.82453740132
2005-09-02,106697.45324698083
2005-09-06,107325.04821796797
2005-09-07,107371.83464040574
2005-09-08,107112.28984705186
2005-09-09,107417.68928775532
2005-09-12,107526.15188906438
2005-09-13,107225.93752984895
2005-09-14,106691.67318325205
2005-09-15,106504.85009928321
2005-09-16,107996.28148144492
2005-09-19,106857.77408130138
2005-09-20,105535.50379938967
2005-09-21,104884.91312440185
2005-09-22,105893.28377942994
2005-09-23,106846.4933774812
2005-09-26,107787.33726074496
2005-09-27,107911.45422501773
2005-09-28,108238.95286394507
2005-09-29,108650.68031767594
2005-09-30,108578.81739424632
2005-10-03,108467.57153727846
2005-10-04,108612.79636442581
2005-10-05,106561.25066953366
2005-10-06,104720.56592907857
2005-10-07,106177.27718956707
2005-10-10,106130.32104742588
2005-10-11,105691.08750354554
2005-10-12,104163.09562542205
2005-10-13,104077.63147044033
2005-10-14,106324.91365375057
2005-10-17,106775.43418160606
2005-10-18,106433.73300082855
2005-10-19,107235.53317405205
2005-10-20,106930.81637726507
2005-10-21,107613.24006032516
2005-10-24,107911.02552334055
2005-10-25,107904.28965895907
2005-10-26,107824.94036147198
2005-10-27,107567.80178008904
2005-10-28,108431.42289855826
2005-10-31,108020.72063327109
2005-11-01,108032.69716220803
2005-11-02,108367.50586972278
2005-11-03,108976.8789158435
2005-11-04,109068.72757196067
2005-11-07,109283.55830100898
2005-11-08,109003.85862732198
2005-11-09,109444.29392634849
2005-11-10,109792.92859167486
2005-11-11,110330.56467403253
2005-11-14,110845.49216408673
2005-11-15,110134.69467044981
2005-11-16,110415.460365143
2005-11-17,112788.79323920436
2005-11-18,112404.2320047711
2005-11-21,112429.9212446488
2005-11-22,112425.85116321697
2005-11-23,112664.14436482516
2005-11-25,112743.66691528565
2005-11-28,112097.34471374552
2005-11-29,112495.38464759738
2005-11-30,112323.73876750574
2005-12-01,113250.9337496915
2005-12-02,112925.26477189458
2005-12-05,112224.0988264793
2005-12-06,111971.63947117729
2005-12-07,111808.91009422514
2005-12-08,111473.75054064809
2005-12-09,112583.37101046194
2005-12-12,112804.33628570502
2005-12-13,113740.31369792967
2005-12-14,114032.4461040287
2005-12-15,114206.41507991403
2005-12-16,115643.71371834535
2005-12-19,115346.55724134164
2005-12-20,115585.43724080778
2005-12-21,116632.34485947367
2005-12-22,117182.34762549606
2005-12-23,117296.93305954675
2005-12-27,116290.442808379
2005-12-28,117034.33869349168
2005-12-29,116863.29161682152
2005-12-30,116462.68544970482
2006-01-03,119050.93585732018
2006-01-04,118968.38420175937
2006-01-05,119765.79036519481
2006-01-06,120558.52778962877
2006-01-09,120591.81769122113
2006-01-10,120750.38676611114
2006-01-11,120654.80296138102
2006-01-12,120535.6487212398
2006-01-13,120841.6057953655
